subject,age,gender,edu,english,encoding_instruction_condition,encoding_task_condition,recall_instruction_condition,aware,list,output 1,output 2,output 3,output 4,output 5,output 6,output 7,output 8,output 9,output 10,output 11,output 12,output 13,output 14,output 15,output 16,output 17,output 18,output 19,output 20,output 21,output 22,output 23,output 24,output 25
46,,,,,Incidental,Animacy,Free,no,0,12,7,14,3,2,6,,,,,,,,,,,,,,,,,,,
46,,,,,Incidental,Animacy,Free,no,1,2,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,Incidental,Animacy,Free,no,0,-999,-999,15,-999,15,13,-999,4,,,,,,,,,,,,,,,,,
47,,,,,Incidental,Animacy,Free,no,1,5,14,-999,9,2,-1,-999,-999,9,-1,-999,-1,1,,,,,,,,,,,,
48,,,,,Incidental,Animacy,Free,no,0,10,11,13,3,12,16,1,7,,,,,,,,,,,,,,,,,
48,,,,,Incidental,Animacy,Free,no,1,5,16,10,6,9,-999,3,,,,,,,,,,,,,,,,,,
49,,,,,Incidental,Animacy,Free,no,0,1,15,14,4,10,3,8,13,,,,,,,,,,,,,,,,,
49,,,,,Incidental,Animacy,Free,no,1,-1,-1,-1,-1,-1,-1,-1,15,,,,,,,,,,,,,,,,,
50,,,,,Incidental,Animacy,Free,no,0,4,16,15,12,11,3,,,,,,,,,,,,,,,,,,,
50,,,,,Incidental,Animacy,Free,no,1,8,10,15,14,4,,,,,,,,,,,,,,,,,,,,
51,,,,,Incidental,Animacy,Free,no,0,13,16,11,12,8,1,,,,,,,,,,,,,,,,,,,
51,,,,,Incidental,Animacy,Free,no,1,4,12,16,2,11,9,15,,,,,,,,,,,,,,,,,,
52,,,,,Incidental,Animacy,Free,no,0,-2999,6,9,,,,,,,,,,,,,,,,,,,,,,
52,,,,,Incidental,Animacy,Free,no,1,5,11,9,,,,,,,,,,,,,,,,,,,,,,
53,,,,,Incidental,Animacy,Free,no,0,1,6,15,14,16,12,2,,,,,,,,,,,,,,,,,,
53,,,,,Incidental,Animacy,Free,no,1,5,15,9,3,13,,,,,,,,,,,,,,,,,,,,
54,,,,,Incidental,Animacy,Free,no,0,16,5,13,11,12,14,8,,,,,,,,,,,,,,,,,,
54,,,,,Incidental,Animacy,Free,no,1,4,10,12,14,15,1,13,,,,,,,,,,,,,,,,,,
55,,,,,Incidental,Animacy,Free,no,0,13,12,1,5,16,,,,,,,,,,,,,,,,,,,,
55,,,,,Incidental,Animacy,Free,no,1,1,2,12,,,,,,,,,,,,,,,,,,,,,,
56,,,,,Incidental,Animacy,Free,no,0,8,14,2,5,16,15,11,,,,,,,,,,,,,,,,,,
56,,,,,Incidental,Animacy,Free,no,1,13,8,6,10,11,,,,,,,,,,,,,,,,,,,,
57,,,,,Incidental,Animacy,Free,no,0,14,13,7,3,11,6,,,,,,,,,,,,,,,,,,,
57,,,,,Incidental,Animacy,Free,no,1,16,9,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,Incidental,Animacy,Free,no,0,15,11,8,3,9,13,16,7,,,,,,,,,,,,,,,,,
58,,,,,Incidental,Animacy,Free,no,1,10,14,11,15,13,16,-1,15,,,,,,,,,,,,,,,,,
59,,,,,Incidental,Animacy,Free,no,0,1,15,11,14,5,6,16,10,,,,,,,,,,,,,,,,,
59,,,,,Incidental,Animacy,Free,no,1,5,13,6,,,,,,,,,,,,,,,,,,,,,,
