subject,age,gender,edu,english,encoding_instruction_condition,encoding_task_condition,recall_instruction_condition,aware,list,output 1,output 2,output 3,output 4,output 5,output 6,output 7,output 8,output 9,output 10,output 11,output 12,output 13,output 14,output 15,output 16,output 17,output 18,output 19,output 20,output 21,output 22,output 23,output 24,output 25
2572,,,,,Incidental,Relational,Free,yes,0,2,3,5,8,-999,6,9,15,,,,,,,,,,,,,,,,,
2572,,,,,Incidental,Relational,Free,yes,1,1,4,6,15,11,13,10,,,,,,,,,,,,,,,,,,
2573,,,,,Incidental,Relational,Free,yes,0,7,,,,,,,,,,,,,,,,,,,,,,,,
2574,,,,,Incidental,Relational,Free,no,0,2,7,11,10,12,,,,,,,,,,,,,,,,,,,,
2574,,,,,Incidental,Relational,Free,no,1,15,1,2,,,,,,,,,,,,,,,,,,,,,,
2575,,,,,Incidental,Relational,Free,no,0,-999,7,16,15,3,13,5,8,,,,,,,,,,,,,,,,,
2575,,,,,Incidental,Relational,Free,no,1,7,13,15,-999,1,-999,,,,,,,,,,,,,,,,,,,
2576,,,,,Incidental,Relational,Free,yes,0,1,2,2,4,10,13,-999,9,16,15,,,,,,,,,,,,,,,
2576,,,,,Incidental,Relational,Free,yes,1,1,-999,4,14,16,2,11,,,,,,,,,,,,,,,,,,
2577,,,,,Incidental,Relational,Free,no,0,1,9,6,7,13,15,5,3,7,,,,,,,,,,,,,,,,
2577,,,,,Incidental,Relational,Free,no,1,2,3,14,15,13,11,5,10,4,,,,,,,,,,,,,,,,
2578,,,,,Incidental,Relational,Free,no,0,1,6,7,11,15,14,9,8,2,4,14,13,10,,,,,,,,,,,,
2578,,,,,Incidental,Relational,Free,no,1,15,-999,9,5,8,6,11,1,13,3,7,15,16,,,,,,,,,,,,
2579,,,,,Incidental,Relational,Free,no,0,12,11,13,4,10,,,,,,,,,,,,,,,,,,,,
2579,,,,,Incidental,Relational,Free,no,1,8,6,16,13,14,15,,,,,,,,,,,,,,,,,,,
2580,,,,,Incidental,Relational,Free,no,0,7,10,3,2,5,9,,,,,,,,,,,,,,,,,,,
2580,,,,,Incidental,Relational,Free,no,1,14,4,1,3,15,6,,,,,,,,,,,,,,,,,,,
2581,,,,,Incidental,Relational,Free,no,0,-2999,1,13,15,16,6,3,14,,,,,,,,,,,,,,,,,
2581,,,,,Incidental,Relational,Free,no,1,1,3,4,6,9,15,16,13,13,3,14,,,,,,,,,,,,,,
2582,,,,,Incidental,Relational,Free,no,0,12,15,11,,,,,,,,,,,,,,,,,,,,,,
2582,,,,,Incidental,Relational,Free,no,1,13,5,-999,-999,,,,,,,,,,,,,,,,,,,,,
2583,,,,,Incidental,Relational,Free,yes,0,1,2,6,14,5,4,13,15,,,,,,,,,,,,,,,,,
2583,,,,,Incidental,Relational,Free,yes,1,2,11,4,14,10,5,13,15,,,,,,,,,,,,,,,,,
2584,,,,,Incidental,Relational,Free,no,0,15,7,16,11,8,12,4,-999,,,,,,,,,,,,,,,,,
2584,,,,,Incidental,Relational,Free,no,1,12,1,4,3,15,-999,16,,,,,,,,,,,,,,,,,,
2585,,,,,Incidental,Relational,Free,yes,0,2,7,3,12,14,8,16,10,,,,,,,,,,,,,,,,,
2585,,,,,Incidental,Relational,Free,yes,1,13,14,,,,,,,,,,,,,,,,,,,,,,,
2586,,,,,Incidental,Relational,Free,yes,0,2,7,11,10,13,16,12,,,,,,,,,,,,,,,,,,
2586,,,,,Incidental,Relational,Free,yes,1,2,7,5,11,-999,13,3,4,16,10,,,,,,,,,,,,,,,
2587,,,,,Incidental,Relational,Free,no,0,16,10,11,4,6,15,14,2,13,,,,,,,,,,,,,,,,
2587,,,,,Incidental,Relational,Free,no,1,13,12,16,3,8,9,-999,1,2,10,6,,,,,,,,,,,,,,
2588,,,,,Incidental,Relational,Free,yes,0,1,12,14,,,,,,,,,,,,,,,,,,,,,,
2588,,,,,Incidental,Relational,Free,yes,1,1,7,13,2,11,3,15,8,-999,12,,,,,,,,,,,,,,,
2589,,,,,Incidental,Relational,Free,yes,0,4,1,3,10,8,,,,,,,,,,,,,,,,,,,,
2589,,,,,Incidental,Relational,Free,yes,1,3,11,12,8,6,10,,,,,,,,,,,,,,,,,,,
2590,,,,,Incidental,Relational,Free,no,0,6,-999,16,-999,13,,,,,,,,,,,,,,,,,,,,
2590,,,,,Incidental,Relational,Free,no,1,10,-1,15,-1,7,,,,,,,,,,,,,,,,,,,,
2591,,,,,Incidental,Relational,Free,yes,0,16,7,1,9,15,13,8,2,6,,,,,,,,,,,,,,,,
2591,,,,,Incidental,Relational,Free,yes,1,1,7,15,3,5,9,10,13,11,,,,,,,,,,,,,,,,
2592,,,,,Incidental,Relational,Free,yes,0,1,10,13,16,14,3,8,12,9,,,,,,,,,,,,,,,,
2592,,,,,Incidental,Relational,Free,yes,1,2,5,11,16,11,9,15,,,,,,,,,,,,,,,,,,
2593,,,,,Incidental,Relational,Free,no,0,1,2,12,13,15,14,8,16,,,,,,,,,,,,,,,,,
2593,,,,,Incidental,Relational,Free,no,1,6,2,3,12,7,5,16,13,9,1,-999,,,,,,,,,,,,,,
2594,,,,,Incidental,Relational,Free,no,0,1,3,4,10,8,7,15,14,16,2,,,,,,,,,,,,,,,
2594,,,,,Incidental,Relational,Free,no,1,6,7,16,15,1,2,5,8,,,,,,,,,,,,,,,,,
2595,,,,,Incidental,Relational,Free,yes,0,1,2,4,15,12,10,7,13,3,,,,,,,,,,,,,,,,
2595,,,,,Incidental,Relational,Free,yes,1,7,3,10,4,1,6,2,9,16,,,,,,,,,,,,,,,,
2596,,,,,Incidental,Relational,Free,no,0,1,6,7,9,3,-999,8,-999,2,9,,,,,,,,,,,,,,,
2596,,,,,Incidental,Relational,Free,no,1,2,9,4,15,5,,,,,,,,,,,,,,,,,,,,
2597,,,,,Incidental,Relational,Free,no,0,12,14,-999,-999,-999,,,,,,,,,,,,,,,,,,,,
2597,,,,,Incidental,Relational,Free,no,1,4,3,9,16,-999,,,,,,,,,,,,,,,,,,,,
2598,,,,,Incidental,Relational,Free,yes,0,1,10,13,12,7,6,5,3,4,11,14,15,9,,,,,,,,,,,,
2598,,,,,Incidental,Relational,Free,yes,1,14,16,10,11,15,13,6,,,,,,,,,,,,,,,,,,
2599,,,,,Incidental,Relational,Free,yes,0,4,5,6,11,12,13,14,8,16,7,,,,,,,,,,,,,,,
2599,,,,,Incidental,Relational,Free,yes,1,1,7,11,13,8,9,4,16,3,,,,,,,,,,,,,,,,
2600,,,,,Incidental,Relational,Free,no,0,13,9,4,12,1,3,-999,,,,,,,,,,,,,,,,,,
2600,,,,,Incidental,Relational,Free,no,1,8,5,16,9,15,11,4,8,10,,,,,,,,,,,,,,,,
2601,,,,,Incidental,Relational,Free,no,0,1,16,5,12,13,11,15,6,10,,,,,,,,,,,,,,,,
2601,,,,,Incidental,Relational,Free,no,1,3,5,15,10,11,8,,,,,,,,,,,,,,,,,,,
2602,,,,,Incidental,Relational,Free,no,0,13,11,8,6,14,,,,,,,,,,,,,,,,,,,,
2602,,,,,Incidental,Relational,Free,no,1,1,7,13,12,8,16,9,10,10,3,6,,,,,,,,,,,,,,
2603,,,,,Incidental,Relational,Free,yes,0,8,5,11,13,15,,,,,,,,,,,,,,,,,,,,
2603,,,,,Incidental,Relational,Free,yes,1,15,2,12,16,8,,,,,,,,,,,,,,,,,,,,
2604,,,,,Incidental,Relational,Free,yes,0,9,4,11,7,5,1,15,14,-999,6,1,10,,,,,,,,,,,,,
2604,,,,,Incidental,Relational,Free,yes,1,15,1,2,3,4,5,-999,15,-999,14,,,,,,,,,,,,,,,
2605,,,,,Incidental,Relational,Free,no,0,11,2,1,13,12,8,,,,,,,,,,,,,,,,,,,
2605,,,,,Incidental,Relational,Free,no,1,1,4,3,2,9,5,6,-999,,,,,,,,,,,,,,,,,
2606,,,,,Incidental,Relational,Free,no,0,3,6,16,12,10,9,15,4,,,,,,,,,,,,,,,,,
2606,,,,,Incidental,Relational,Free,no,1,12,14,8,,,,,,,,,,,,,,,,,,,,,,
2607,,,,,Incidental,Relational,Free,no,0,5,15,16,2,14,13,,,,,,,,,,,,,,,,,,,
2607,,,,,Incidental,Relational,Free,no,1,3,4,1,5,6,-999,15,5,10,-999,,,,,,,,,,,,,,,
2608,,,,,Incidental,Relational,Free,no,0,4,3,1,8,13,14,15,16,10,,,,,,,,,,,,,,,,
2608,,,,,Incidental,Relational,Free,no,1,1,11,3,5,10,15,4,14,12,16,,,,,,,,,,,,,,,
2609,,,,,Incidental,Relational,Free,no,0,2,8,7,13,15,16,12,,,,,,,,,,,,,,,,,,
2609,,,,,Incidental,Relational,Free,no,1,1,5,7,3,13,15,10,8,16,,,,,,,,,,,,,,,,
2610,,,,,Incidental,Relational,Free,no,0,6,10,16,,,,,,,,,,,,,,,,,,,,,,
2610,,,,,Incidental,Relational,Free,no,1,2,7,6,,,,,,,,,,,,,,,,,,,,,,
2611,,,,,Incidental,Relational,Free,yes,0,1,3,7,16,12,13,6,14,10,4,,,,,,,,,,,,,,,
2611,,,,,Incidental,Relational,Free,yes,1,16,9,2,8,7,3,,,,,,,,,,,,,,,,,,,
2612,,,,,Incidental,Relational,Free,yes,0,2,3,15,6,10,9,,,,,,,,,,,,,,,,,,,
2612,,,,,Incidental,Relational,Free,yes,1,1,3,4,9,3,13,12,-1,,,,,,,,,,,,,,,,,
2613,,,,,Incidental,Relational,Free,no,0,16,6,15,9,3,,,,,,,,,,,,,,,,,,,,
2613,,,,,Incidental,Relational,Free,no,1,1,8,-1,,,,,,,,,,,,,,,,,,,,,,
2614,,,,,Incidental,Relational,Free,no,0,10,-999,,,,,,,,,,,,,,,,,,,,,,,
2614,,,,,Incidental,Relational,Free,no,1,10,1,,,,,,,,,,,,,,,,,,,,,,,
2615,,,,,Incidental,Relational,Free,no,0,-2999,10,1,2,4,13,16,14,15,,,,,,,,,,,,,,,,
2615,,,,,Incidental,Relational,Free,no,1,3,2,6,16,1,5,12,13,7,11,,,,,,,,,,,,,,,
2616,,,,,Incidental,Relational,Free,no,0,1,2,5,3,15,10,4,16,,,,,,,,,,,,,,,,,
2616,,,,,Incidental,Relational,Free,no,1,15,6,10,,,,,,,,,,,,,,,,,,,,,,
2617,,,,,Incidental,Relational,Free,no,0,13,16,12,4,9,4,14,-999,,,,,,,,,,,,,,,,,
2617,,,,,Incidental,Relational,Free,no,1,2,1,10,13,9,5,15,,,,,,,,,,,,,,,,,,
2618,,,,,Incidental,Relational,Free,no,0,15,14,11,5,3,2,,,,,,,,,,,,,,,,,,,
2618,,,,,Incidental,Relational,Free,no,1,16,13,14,11,8,9,6,7,5,9,10,,,,,,,,,,,,,,
2619,,,,,Incidental,Relational,Free,no,0,1,8,12,2,16,,,,,,,,,,,,,,,,,,,,
2619,,,,,Incidental,Relational,Free,no,1,1,6,9,3,8,14,16,13,15,7,,,,,,,,,,,,,,,
2620,,,,,Incidental,Relational,Free,yes,0,6,16,11,12,15,,,,,,,,,,,,,,,,,,,,
2620,,,,,Incidental,Relational,Free,yes,1,6,16,10,11,,,,,,,,,,,,,,,,,,,,,
2621,,,,,Incidental,Relational,Free,yes,0,-2999,12,11,,,,,,,,,,,,,,,,,,,,,,
2621,,,,,Incidental,Relational,Free,yes,1,1,2,4,16,5,3,6,13,10,15,8,12,,,,,,,,,,,,,
2622,,,,,Incidental,Relational,Free,no,0,2,1,4,5,10,15,9,11,8,12,16,14,15,,,,,,,,,,,,
2622,,,,,Incidental,Relational,Free,no,1,1,14,11,3,13,8,7,12,2,10,,,,,,,,,,,,,,,
2623,,,,,Incidental,Relational,Free,no,0,6,5,13,12,9,10,,,,,,,,,,,,,,,,,,,
2623,,,,,Incidental,Relational,Free,no,1,-999,8,15,2,,,,,,,,,,,,,,,,,,,,,
2624,,,,,Incidental,Relational,Free,no,0,3,12,1,7,,,,,,,,,,,,,,,,,,,,,
2624,,,,,Incidental,Relational,Free,no,1,7,10,11,,,,,,,,,,,,,,,,,,,,,,
2625,,,,,Incidental,Relational,Free,no,0,1,3,-999,-999,16,10,15,,,,,,,,,,,,,,,,,,
2625,,,,,Incidental,Relational,Free,no,1,13,,,,,,,,,,,,,,,,,,,,,,,,
2626,,,,,Incidental,Relational,Free,no,0,15,11,2,8,7,1,,,,,,,,,,,,,,,,,,,
2626,,,,,Incidental,Relational,Free,no,1,9,-999,12,,,,,,,,,,,,,,,,,,,,,,
2627,,,,,Incidental,Relational,Free,no,0,16,5,1,2,13,11,5,7,10,,,,,,,,,,,,,,,,
2627,,,,,Incidental,Relational,Free,no,1,15,16,8,1,7,-999,2,,,,,,,,,,,,,,,,,,
2628,,,,,Incidental,Relational,Free,no,0,1,2,6,8,9,14,16,15,3,7,,,,,,,,,,,,,,,
2628,,,,,Incidental,Relational,Free,no,1,1,2,4,3,6,5,10,15,5,12,8,16,9,,,,,,,,,,,,
2629,,,,,Incidental,Relational,Free,no,0,9,8,14,,,,,,,,,,,,,,,,,,,,,,
2629,,,,,Incidental,Relational,Free,no,1,5,4,-999,3,14,,,,,,,,,,,,,,,,,,,,
2630,,,,,Incidental,Relational,Free,yes,0,6,1,2,8,12,9,10,14,15,11,16,,,,,,,,,,,,,,
2630,,,,,Incidental,Relational,Free,yes,1,2,14,13,12,16,10,,,,,,,,,,,,,,,,,,,
2631,,,,,Incidental,Relational,Free,no,0,13,8,1,2,9,13,7,3,,,,,,,,,,,,,,,,,
2631,,,,,Incidental,Relational,Free,no,1,2,1,4,3,-999,2,6,5,,,,,,,,,,,,,,,,,
2632,,,,,Incidental,Relational,Free,no,0,1,14,7,15,3,16,11,9,5,10,13,8,,,,,,,,,,,,,
2632,,,,,Incidental,Relational,Free,no,1,11,13,16,3,1,2,8,4,7,5,14,6,,,,,,,,,,,,,
2633,,,,,Incidental,Relational,Free,no,0,10,14,-999,3,9,16,11,13,8,,,,,,,,,,,,,,,,
2633,,,,,Incidental,Relational,Free,no,1,15,12,8,10,16,,,,,,,,,,,,,,,,,,,,
2634,,,,,Incidental,Relational,Free,no,0,14,10,11,16,9,12,15,2,1,8,,,,,,,,,,,,,,,
2634,,,,,Incidental,Relational,Free,no,1,1,13,16,12,14,10,9,7,15,,,,,,,,,,,,,,,,
2635,,,,,Incidental,Relational,Free,yes,0,1,9,8,6,15,5,4,3,16,12,,,,,,,,,,,,,,,
2635,,,,,Incidental,Relational,Free,yes,1,1,2,6,5,7,-999,4,8,12,,,,,,,,,,,,,,,,
2636,,,,,Incidental,Scenario,Free,no,0,1,16,13,3,14,6,2,15,,,,,,,,,,,,,,,,,
2636,,,,,Incidental,Scenario,Free,no,1,1,3,2,15,13,-1,,,,,,,,,,,,,,,,,,,
2637,,,,,Incidental,Scenario,Free,no,0,4,14,8,16,,,,,,,,,,,,,,,,,,,,,
2637,,,,,Incidental,Scenario,Free,no,1,4,15,14,,,,,,,,,,,,,,,,,,,,,,
2638,,,,,Incidental,Scenario,Free,yes,0,8,3,13,16,2,,,,,,,,,,,,,,,,,,,,
2638,,,,,Incidental,Scenario,Free,yes,1,12,6,5,13,1,3,16,,,,,,,,,,,,,,,,,,
2639,,,,,Incidental,Scenario,Free,no,0,16,12,14,5,11,15,7,,,,,,,,,,,,,,,,,,
2639,,,,,Incidental,Scenario,Free,no,1,1,5,4,15,14,7,13,,,,,,,,,,,,,,,,,,
2640,,,,,Incidental,Scenario,Free,no,0,11,7,6,13,1,3,16,,,,,,,,,,,,,,,,,,
2640,,,,,Incidental,Scenario,Free,no,1,1,5,4,11,12,13,14,3,10,,,,,,,,,,,,,,,,
2641,,,,,Incidental,Scenario,Free,no,0,3,-999,-999,-999,-999,5,,,,,,,,,,,,,,,,,,,
2641,,,,,Incidental,Scenario,Free,no,1,4,1,15,-999,6,,,,,,,,,,,,,,,,,,,,
2642,,,,,Incidental,Scenario,Free,no,0,4,8,1,7,14,13,12,16,15,-999,6,,,,,,,,,,,,,,
2642,,,,,Incidental,Scenario,Free,no,1,11,2,4,15,14,-999,8,,,,,,,,,,,,,,,,,,
2643,,,,,Incidental,Scenario,Free,no,0,1,2,7,10,15,,,,,,,,,,,,,,,,,,,,
2643,,,,,Incidental,Scenario,Free,no,1,-1,16,7,,,,,,,,,,,,,,,,,,,,,,
2644,,,,,Incidental,Scenario,Free,no,0,16,13,-999,14,9,,,,,,,,,,,,,,,,,,,,
2644,,,,,Incidental,Scenario,Free,no,1,6,15,13,9,,,,,,,,,,,,,,,,,,,,,
2645,,,,,Incidental,Scenario,Free,no,0,8,7,16,1,4,9,,,,,,,,,,,,,,,,,,,
2645,,,,,Incidental,Scenario,Free,no,1,2,5,16,7,3,15,4,,,,,,,,,,,,,,,,,,
2646,,,,,Incidental,Scenario,Free,no,0,10,-999,16,12,9,8,,,,,,,,,,,,,,,,,,,
2646,,,,,Incidental,Scenario,Free,no,1,16,10,,,,,,,,,,,,,,,,,,,,,,,
2647,,,,,Incidental,Scenario,Free,yes,0,16,4,10,2,3,15,12,9,,,,,,,,,,,,,,,,,
2647,,,,,Incidental,Scenario,Free,yes,1,6,2,15,12,14,,,,,,,,,,,,,,,,,,,,
2648,,,,,Incidental,Scenario,Free,no,0,16,15,12,9,10,,,,,,,,,,,,,,,,,,,,
2648,,,,,Incidental,Scenario,Free,no,1,16,11,7,,,,,,,,,,,,,,,,,,,,,,
2649,,,,,Incidental,Scenario,Free,no,0,6,14,4,2,9,5,,,,,,,,,,,,,,,,,,,
2649,,,,,Incidental,Scenario,Free,no,1,9,16,10,11,12,15,2,,,,,,,,,,,,,,,,,,
2650,,,,,Incidental,Scenario,Free,no,0,3,10,11,4,12,7,,,,,,,,,,,,,,,,,,,
2650,,,,,Incidental,Scenario,Free,no,1,16,6,4,9,14,10,,,,,,,,,,,,,,,,,,,
2651,,,,,Incidental,Scenario,Free,yes,0,16,6,9,-999,5,,,,,,,,,,,,,,,,,,,,
2651,,,,,Incidental,Scenario,Free,yes,1,15,16,7,10,,,,,,,,,,,,,,,,,,,,,
2652,,,,,Incidental,Scenario,Free,no,0,3,10,-2999,4,5,6,11,13,15,16,7,,,,,,,,,,,,,,
2652,,,,,Incidental,Scenario,Free,no,1,-1,-999,7,6,1,,,,,,,,,,,,,,,,,,,,
2653,,,,,Incidental,Scenario,Free,no,0,15,-999,14,16,11,9,,,,,,,,,,,,,,,,,,,
2653,,,,,Incidental,Scenario,Free,no,1,3,16,7,2,5,9,13,,,,,,,,,,,,,,,,,,
2654,,,,,Incidental,Scenario,Free,no,0,13,14,12,9,10,11,3,,,,,,,,,,,,,,,,,,
2654,,,,,Incidental,Scenario,Free,no,1,12,15,2,9,6,11,,,,,,,,,,,,,,,,,,,
2655,,,,,Incidental,Scenario,Free,no,0,11,15,10,16,9,2,4,,,,,,,,,,,,,,,,,,
2655,,,,,Incidental,Scenario,Free,no,1,1,6,14,8,11,5,,,,,,,,,,,,,,,,,,,
2656,,,,,Incidental,Scenario,Free,yes,0,15,14,6,16,8,11,7,,,,,,,,,,,,,,,,,,
2656,,,,,Incidental,Scenario,Free,yes,1,9,12,16,10,13,14,3,4,,,,,,,,,,,,,,,,,
2657,,,,,Incidental,Scenario,Free,no,0,14,6,11,-999,12,,,,,,,,,,,,,,,,,,,,
2657,,,,,Incidental,Scenario,Free,no,1,2,7,11,,,,,,,,,,,,,,,,,,,,,,
2658,,,,,Incidental,Scenario,Free,no,0,-999,11,4,,,,,,,,,,,,,,,,,,,,,,
2658,,,,,Incidental,Scenario,Free,no,1,9,1,7,,,,,,,,,,,,,,,,,,,,,,
2659,,,,,Incidental,Scenario,Free,no,0,14,4,-999,-999,8,,,,,,,,,,,,,,,,,,,,
2659,,,,,Incidental,Scenario,Free,no,1,11,12,2,10,,,,,,,,,,,,,,,,,,,,,
2660,,,,,Incidental,Scenario,Free,no,0,9,14,6,3,11,13,,,,,,,,,,,,,,,,,,,
2660,,,,,Incidental,Scenario,Free,no,1,14,12,1,6,7,10,13,9,,,,,,,,,,,,,,,,,
2661,,,,,Incidental,Scenario,Free,no,0,16,13,9,15,7,,,,,,,,,,,,,,,,,,,,
2661,,,,,Incidental,Scenario,Free,no,1,4,7,,,,,,,,,,,,,,,,,,,,,,,
2662,,,,,Incidental,Scenario,Free,no,0,12,9,10,1,7,15,11,5,8,,,,,,,,,,,,,,,,
2662,,,,,Incidental,Scenario,Free,no,1,15,9,12,16,-1,,,,,,,,,,,,,,,,,,,,
2663,,,,,Incidental,Scenario,Free,no,0,5,14,1,2,16,9,6,,,,,,,,,,,,,,,,,,
2663,,,,,Incidental,Scenario,Free,no,1,9,7,5,6,1,8,,,,,,,,,,,,,,,,,,,
2664,,,,,Incidental,Scenario,Free,no,0,8,,,,,,,,,,,,,,,,,,,,,,,,
2664,,,,,Incidental,Scenario,Free,no,1,8,1,14,16,13,5,14,,,,,,,,,,,,,,,,,,
2665,,,,,Incidental,Scenario,Free,no,0,16,1,14,9,5,7,8,10,11,12,13,15,,,,,,,,,,,,,
2665,,,,,Incidental,Scenario,Free,no,1,16,3,11,10,14,1,9,,,,,,,,,,,,,,,,,,
2666,,,,,Incidental,Scenario,Free,no,0,-2999,4,12,14,16,,,,,,,,,,,,,,,,,,,,
2667,,,,,Incidental,Scenario,Free,no,0,2,8,-999,1,5,4,9,,,,,,,,,,,,,,,,,,
2667,,,,,Incidental,Scenario,Free,no,1,7,10,14,1,13,16,15,9,,,,,,,,,,,,,,,,,
2668,,,,,Incidental,Scenario,Free,no,0,16,15,,,,,,,,,,,,,,,,,,,,,,,
2669,,,,,Incidental,Scenario,Free,yes,0,3,-999,9,16,,,,,,,,,,,,,,,,,,,,,
2669,,,,,Incidental,Scenario,Free,yes,1,1,2,8,9,12,16,2,,,,,,,,,,,,,,,,,,
2670,,,,,Incidental,Scenario,Free,no,0,-2999,12,15,2,11,10,4,8,,,,,,,,,,,,,,,,,
2670,,,,,Incidental,Scenario,Free,no,1,15,10,-1,,,,,,,,,,,,,,,,,,,,,,
2671,,,,,Incidental,Scenario,Free,yes,0,15,9,11,13,3,4,,,,,,,,,,,,,,,,,,,
2671,,,,,Incidental,Scenario,Free,yes,1,11,4,16,,,,,,,,,,,,,,,,,,,,,,
2672,,,,,Incidental,Scenario,Free,yes,0,-2999,7,2,14,13,,,,,,,,,,,,,,,,,,,,
2672,,,,,Incidental,Scenario,Free,yes,1,2,,,,,,,,,,,,,,,,,,,,,,,,
2673,,,,,Incidental,Scenario,Free,no,0,4,15,16,9,8,11,-999,,,,,,,,,,,,,,,,,,
2673,,,,,Incidental,Scenario,Free,no,1,-999,16,13,,,,,,,,,,,,,,,,,,,,,,
2674,,,,,Incidental,Scenario,Free,no,0,16,8,15,13,14,11,9,,,,,,,,,,,,,,,,,,
2674,,,,,Incidental,Scenario,Free,no,1,16,15,8,13,14,4,12,,,,,,,,,,,,,,,,,,
2675,,,,,Incidental,Scenario,Free,yes,0,13,11,10,3,4,,,,,,,,,,,,,,,,,,,,
2675,,,,,Incidental,Scenario,Free,yes,1,16,8,11,,,,,,,,,,,,,,,,,,,,,,
2676,,,,,Incidental,Scenario,Free,no,0,15,10,16,12,14,9,5,13,10,,,,,,,,,,,,,,,,
2676,,,,,Incidental,Scenario,Free,no,1,16,7,13,4,12,9,6,11,-1,5,10,,,,,,,,,,,,,,
2677,,,,,Incidental,Scenario,Free,no,0,-999,14,7,11,13,9,,,,,,,,,,,,,,,,,,,
2677,,,,,Incidental,Scenario,Free,no,1,2,16,1,,,,,,,,,,,,,,,,,,,,,,
2678,,,,,Incidental,Scenario,Free,no,0,16,8,13,9,7,-999,,,,,,,,,,,,,,,,,,,
2678,,,,,Incidental,Scenario,Free,no,1,16,13,15,14,-999,,,,,,,,,,,,,,,,,,,,
2679,,,,,Incidental,Scenario,Free,no,0,15,1,4,5,12,8,7,14,3,-999,,,,,,,,,,,,,,,
2679,,,,,Incidental,Scenario,Free,no,1,1,7,12,15,2,4,-1,16,,,,,,,,,,,,,,,,,
2680,,,,,Incidental,Scenario,Free,yes,0,14,1,9,10,3,11,15,,,,,,,,,,,,,,,,,,
2680,,,,,Incidental,Scenario,Free,yes,1,3,7,14,16,,,,,,,,,,,,,,,,,,,,,
2681,,,,,Incidental,Scenario,Free,no,0,-2999,9,7,15,,,,,,,,,,,,,,,,,,,,,
2681,,,,,Incidental,Scenario,Free,no,1,13,11,1,2,6,-999,,,,,,,,,,,,,,,,,,,
2682,,,,,Incidental,Scenario,Free,no,0,10,-999,13,6,15,16,12,,,,,,,,,,,,,,,,,,
2682,,,,,Incidental,Scenario,Free,no,1,12,9,6,15,,,,,,,,,,,,,,,,,,,,,
2683,,,,,Incidental,Scenario,Free,no,0,16,13,9,7,6,14,12,4,,,,,,,,,,,,,,,,,
2683,,,,,Incidental,Scenario,Free,no,1,1,11,13,8,,,,,,,,,,,,,,,,,,,,,
2684,,,,,Incidental,Scenario,Free,no,0,6,14,11,15,5,8,2,16,9,,,,,,,,,,,,,,,,
2684,,,,,Incidental,Scenario,Free,no,1,6,12,9,4,15,7,13,14,1,3,5,,,,,,,,,,,,,,
2685,,,,,Incidental,Scenario,Free,no,0,16,5,4,15,7,6,2,3,12,,,,,,,,,,,,,,,,
2685,,,,,Incidental,Scenario,Free,no,1,13,14,11,12,15,1,8,-1,,,,,,,,,,,,,,,,,
2686,,,,,Incidental,Scenario,Free,no,0,15,10,5,16,1,12,7,14,11,,,,,,,,,,,,,,,,
2686,,,,,Incidental,Scenario,Free,no,1,16,15,5,2,,,,,,,,,,,,,,,,,,,,,
2687,,,,,Incidental,Scenario,Free,no,0,16,14,-999,15,10,8,-999,,,,,,,,,,,,,,,,,,
2687,,,,,Incidental,Scenario,Free,no,1,16,15,10,6,8,12,13,14,,,,,,,,,,,,,,,,,
2688,,,,,Incidental,Scenario,Free,no,0,9,15,7,13,1,12,,,,,,,,,,,,,,,,,,,
2688,,,,,Incidental,Scenario,Free,no,1,1,6,15,16,-1,,,,,,,,,,,,,,,,,,,,
2689,,,,,Incidental,Scenario,Free,yes,0,14,13,16,9,5,2,,,,,,,,,,,,,,,,,,,
2689,,,,,Incidental,Scenario,Free,yes,1,1,7,2,4,,,,,,,,,,,,,,,,,,,,,
2690,,,,,Incidental,Scenario,Free,no,0,9,16,13,12,-999,14,13,,,,,,,,,,,,,,,,,,
2690,,,,,Incidental,Scenario,Free,no,1,4,2,15,14,15,16,-999,12,,,,,,,,,,,,,,,,,
2691,,,,,Incidental,Scenario,Free,no,0,15,16,13,12,3,9,4,,,,,,,,,,,,,,,,,,
2691,,,,,Incidental,Scenario,Free,no,1,16,14,15,3,5,6,7,9,8,10,11,12,13,,,,,,,,,,,,
2692,,,,,Incidental,Scenario,Free,no,0,13,16,15,9,16,,,,,,,,,,,,,,,,,,,,
2692,,,,,Incidental,Scenario,Free,no,1,10,16,10,5,13,8,,,,,,,,,,,,,,,,,,,
2693,,,,,Incidental,Scenario,Free,no,0,3,12,15,16,14,7,13,9,5,16,,,,,,,,,,,,,,,
2693,,,,,Incidental,Scenario,Free,no,1,2,16,1,8,6,,,,,,,,,,,,,,,,,,,,
2694,,,,,Incidental,Scenario,Free,no,0,10,14,13,1,16,,,,,,,,,,,,,,,,,,,,
2694,,,,,Incidental,Scenario,Free,no,1,14,5,1,16,9,-1,,,,,,,,,,,,,,,,,,,
2695,,,,,Incidental,Scenario,Free,no,0,10,13,14,11,16,,,,,,,,,,,,,,,,,,,,
2695,,,,,Incidental,Scenario,Free,no,1,7,3,10,12,1,13,-1,,,,,,,,,,,,,,,,,,
2696,,,,,Incidental,Scenario,Free,no,0,1,16,10,14,13,15,,,,,,,,,,,,,,,,,,,
2696,,,,,Incidental,Scenario,Free,no,1,1,12,16,12,14,11,8,,,,,,,,,,,,,,,,,,
2697,,,,,Incidental,Scenario,Free,no,0,13,5,1,,,,,,,,,,,,,,,,,,,,,,
